segment,seam_score,verdict,seam_axis,seam_index,grid_h,grid_w,baseline_step
20251115002741-auto_grown_20251115002740308_1_flatboi,455.41,BROKEN,col,1605,629,2815,19.85
20251204192708-w093_20251204192708445_flatboi,1.21,clean,col,447,753,865,16.57
20250926122938-w082_20250926122938619_flatboi,1.03,clean,row,59,716,576,19.25
20251206184729-w095_20251206184729906_flatboi,1.03,clean,col,257,724,571,19.56
20250926113336-w079_20250926113336891_flatboi,1.03,clean,row,64,726,819,19.47
20250926132117-w083_20250926132117595_flatboi,1.02,clean,col,126,697,581,19.48
20251115002744-auto_grown_20251115002740308_4_flatboi,1.02,clean,row,367,800,2927,19.64
20250926112011-w078_20250926112011918_flatboi,1.02,clean,row,648,685,625,19.63
20250926114310-w080_20250926114310705_flatboi,1.02,clean,row,45,624,571,19.69
20251106133152-w077_20251106133152767_flatboi,1.01,clean,row,85,797,590,19.79
20251111151836-w069_20251111151836406_flatboi,1.01,clean,col,713,818,873,19.89
20251115002745-auto_grown_20251115002740308_5_flatboi,1.01,clean,row,233,637,3065,19.84
20251106170358-w076_20251106170358232_flatboi,1.01,clean,row,76,673,608,19.80
20251115002740-auto_grown_20251115002740308_0_flatboi,1.01,clean,row,51,555,2460,19.91
20250926153406-w088_20250926153406704_flatboi,1.01,clean,row,650,728,625,19.84
20251114202035-w081_20251114202035261_flatboi,1.01,clean,col,505,588,571,19.90
20250926145427-w084_20250926145427439_flatboi,1.01,clean,col,535,483,601,19.86
20251115002747-auto_grown_20251115002740308_7_flatboi,1.01,clean,row,181,612,2817,19.91
20251115002742-auto_grown_20251115002740308_2_flatboi,1.01,clean,row,386,619,2790,19.94
20251115002743-auto_grown_20251115002740308_3_flatboi,1.01,clean,row,142,648,2878,19.91
20251204101314-w092_20251204101314959_flatboi,1.01,clean,col,346,677,628,19.89
20251110110112-w066_20251110110112608_flatboi,1.01,clean,row,83,837,749,19.94
20251204071911-w091_20251204071911070_flatboi,1.01,clean,row,583,639,608,19.94
20251203230500-w089_20251203230500465_flatboi,1.01,clean,row,584,646,611,19.92
20251115002748-auto_grown_20251115002740308_8_flatboi,1.01,clean,row,573,637,1867,19.96
20251115002746-auto_grown_20251115002740308_6_flatboi,1.01,clean,row,283,558,2777,19.96
20251112163527-w071_20251112163527854_flatboi,1.01,clean,row,144,645,754,19.98
20251109232817-w065_20251109232817724_flatboi,1.01,clean,row,138,759,743,19.96
20251107110950-w064_20251107110950052_flatboi,1.00,clean,row,494,671,747,19.98
20251205115859-w094_20251205115859448_flatboi,1.00,clean,row,527,563,520,19.95
20251204060522-w090_20251204060522416_flatboi,1.00,clean,col,182,643,609,19.95
20251110135146-w085_20251110135146457_flatboi,1.00,clean,row,64,632,484,19.96
20251113204233-w075_20251113204233755_flatboi,1.00,clean,col,432,629,751,20.01
20251110135803-w067_20251110135803677_flatboi,1.00,clean,row,422,657,743,20.01
20250917143559-w062_20250917143559205_flatboi,1.00,clean,col,441,630,687,19.98
20251207123912-w060_20251207123912611_flatboi,1.00,clean,col,207,550,578,20.00
20251107063327-w063_20251107063327215_flatboi,1.00,clean,row,451,642,704,20.00
20251111210734-w070_20251111210734722_flatboi,1.00,clean,row,405,646,749,19.99
20250926150345-w086_20250926150345176_flatboi,1.00,clean,col,118,623,485,19.97
20251210142414-w059_20251210142414060_flatboi,1.00,clean,col,586,476,660,19.99
20251111010954-w068_20251111010954408_flatboi,1.00,clean,col,576,654,746,20.02
20251113130119-w073_20251113130119516_flatboi,1.00,clean,row,144,636,757,19.99
20251107175958-w061_20251107175958270_flatboi,1.00,clean,row,103,602,634,19.98
20251210153304-w058_20251210153304503_flatboi,1.00,clean,col,358,546,660,20.00
20251113021010-w072_20251113021010674_flatboi,1.00,clean,col,592,638,754,20.03
20251210160810-w057_20251210160810301_flatboi,1.00,clean,col,436,544,651,20.03
20251112000002-w087_20251112000002214_flatboi,1.00,clean,col,362,621,481,20.01
20251211135303-w054_20251211135303394_flatboi,1.00,clean,row,337,530,626,20.01
20251211095724-w056_20251211095724922_flatboi,1.00,clean,row,58,533,645,20.00
20251113152136-w074_20251113152136889_flatboi,1.00,clean,col,405,634,752,20.01
20251211152543-w053_20251211152543204_flatboi,1.00,clean,col,449,530,617,20.03
20251211111451-w055_20251211111451620_flatboi,1.00,clean,col,436,537,635,20.02
20251212105627-w052_20251212105627148_flatboi,1.00,clean,col,393,529,610,20.03
